news_date,ts_code,title,dominant_event,event_type_enhanced,net_sentiment,sent_bucket,ret_2d
20250218,601988.SH,通裕重工：拟发行不超过10亿元中期票据,,其他,0.0,弱负,-0.1798561151079125
20250218,601989.SH,中国船舶：拟换股吸收合并中国重工,违规/处罚,并购重组,-0.7,弱负,-3.811659192825112
20250218,002323.SZ,泰豪科技：第一大股东的控股股东发生变更,,其他,0.0,弱负,-0.588235294117645
20250218,000625.SZ,王传福：中国新能源汽车领先大概3—5年 比亚迪最大的资产...,技术突破,并购重组,1.8,强正,0.226415094339627
20250218,000066.SZ,王寰宇回国加盟华中科技大学，曾参与研发3款苹果M系列芯片,,技术创新,0.0,弱负,-2.3536895674300284
20250218,002527.SZ,2连板新时达：实际控制人将变更为海尔集团公司,,其他,0.0,弱负,20.992676973148903
20250218,300058.SZ,腾讯张军辟谣AI搜索植入广告,,其他,0.0,弱负,0.524109014675056
20250218,300059.SZ,汇丰上调中国股票观点至偏高,技术突破,其他,3.6,强正,1.0287183883411988
20250218,002679.SZ,荣耀公布全新PC调校技术HONOR Turbo X，将于2月26日发布,,技术创新,0.0,弱负,0.9445100354191328
20250218,002594.SZ,比亚迪储能与沙特电力公司签署储能项目合同,订单/合同,业务合同,1.2,强正,1.841558587389791
20250218,000738.SZ,人形机器人离我们还有多远？王兴兴：2025年人形机器人会...,,其他,0.0,弱负,1.2933264355923455
20250218,601601.SH,中国太保：子公司1月原保险保费收入为762.71亿元,,其他,0.5,弱正,-2.782874617737019
20250218,300568.SZ,新炬网络：目前经营活动一切正常,,其他,0.0,弱负,2.5257249766136747
20250218,600588.SH,京能热力：不存在关于本公司的应披露而未披露的重大事项,,其他,0.0,弱负,3.742690058479514
20250218,002055.SZ,杭齿前进：“高集成高功率密度关节组件技术”项目研究成...,,技术创新,0.5,弱正,5.1948051948051965
20250218,002623.SZ,昂利康：注射用ALK-N001临床试验申请获受理,技术突破,其他,1.8,强正,1.7173051519154603
20250218,000901.SZ,广东省省长王伟中在广州专题调研时强调 要大力支持无人机...,技术突破,其他,1.8,强正,3.00272975432212
20250218,600999.SH,浙商证券：兑付短期融资券本息20.1亿元,,其他,0.0,弱负,0.1646542261251493
20250218,600655.SH,晋亿实业：签订3.01亿元高速扣配件合同,订单/合同,业务合同,1.2,强正,0.0
20250218,600879.SH,云赛智联：2023年与阿里云和腾讯云合作产生的营业收入占...,,业务合同,-0.5,弱负,4.044943820224711
